TICK   90 - RF1<-memI[0x20]; PC++ | RF1=1/0x1
TICK   91 - ROutAddr<-ROutAddr+RF1 | ROutAddr=6/0x6 N=0,Z=0,V=0,C=0
TICK   92 @ 0x83000000 -  JMP JAbsAddr; PC++ | PC=34/0x22
TICK   93 - PC<-memI[0x18]| PC=24/0x18
TICK   94 @ 0x51C13A00 -  CMP RegReg; PC++ | PC=25/0x19
TICK   95 - CMP RC, zero | N=0,Z=1,V=0,C=0; RC=0/0x0 zero=0/0x0
TICK   96 @ 0xC3000000 -  JE JAbsAddr; PC++ | PC=26/0x1A
TICK   97 - RF2<-memI[0x1A]; PC++ | RF2=35/0x23
TICK   98 - PC<-RF2 | PC=35/0x23
TICK   99 @ 0x93E20000 -  IRet NoOperands; PC++ | PC=36/0x24
TICK  100 - restore register values | PC=4/0x4
------------Exiting interruption------------
TICK  101 @ 0x0B802000 -  PUSH SingleReg; PC++ | PC=5/0x5
TICK  102 - SP=SP-4 | SP=264/0x108
TICK  103 - RF1=SP | SP=264/0x108
TICK  104 - memD[0x108]<-RM1 | memD[0x108]=0x1
TICK  105 - memD[0x109]<-RM1 | memD[0x109]=0x0
TICK  106 - memD[0x10A]<-RM1 | memD[0x10A]=0x0
TICK  107 - memD[0x10B]<-RM1 | memD[0x10B]=0x0
TICK  108 @ 0x04240000 -  MOV MvImmReg; PC++ | PC=6/0x6
TICK  109 - RM2<-#1; PC++ | SP=264/0x108
TICK  110 @ 0x0F820000 -  POP SingleReg; PC++ | PC=8/0x8
TICK  111 - RF1<-SP | RF1=264/0x108
TICK  112 - RM1<-memD[108] | RM1=1/0x1
TICK  113 - RM1<-memD[109] | RM1=1/0x1
TICK  114 - RM1<-memD[10A] | RM1=1/0x1
TICK  115 - RM1<-memD[10B] | RM1=   1/0x1
TICK  116 - SP=SP+4 | SP=264/0x108
TICK  117 @ 0x51C02400 -  CMP RegReg; PC++ | PC=9/0x9
TICK  118 - CMP RM1, RM2 | N=0,Z=1,V=0,C=0; RM1=1/0x1 RM2=1/0x1
TICK  119 @ 0xC7000000 -  JNE JAbsAddr; PC++ | PC=10/0xA
TICK  120 - RF2<-memI[0xA]; PC++ | RF2=13/0xD
TICK  121 - JNE not taken | PC=11/0xB; N=0,Z=1,V=0,C=0
TICK  122 @ 0x83000000 -  JMP JAbsAddr; PC++ | PC=12/0xC
TICK  123 - PC<-memI[0x2]| PC=2/0x2
TICK  124 @ 0x04220000 -  MOV MvImmReg; PC++ | PC=3/0x3
TICK  125 - RM1<-#1; PC++ | SP=268/0x10C
TICK  126 @ 0x0B802000 -  PUSH SingleReg; PC++ | PC=5/0x5
TICK  127 - SP=SP-4 | SP=264/0x108
TICK  128 - RF1=SP | SP=264/0x108
TICK  129 - memD[0x108]<-RM1 | memD[0x108]=0x1
TICK  130 - memD[0x109]<-RM1 | memD[0x109]=0x0
TICK  131 - memD[0x10A]<-RM1 | memD[0x10A]=0x0
TICK  132 - memD[0x10B]<-RM1 | memD[0x10B]=0x0
TICK  133 @ 0x04240000 -  MOV MvImmReg; PC++ | PC=6/0x6
TICK  134 - RM2<-#1; PC++ | SP=264/0x108
TICK  135 @ 0x0F820000 -  POP SingleReg; PC++ | PC=8/0x8
TICK  136 - RF1<-SP | RF1=264/0x108
TICK  137 - RM1<-memD[108] | RM1=1/0x1
TICK  138 - RM1<-memD[109] | RM1=1/0x1
TICK  139 - RM1<-memD[10A] | RM1=1/0x1
TICK  140 - RM1<-memD[10B] | RM1=   1/0x1
TICK  141 - SP=SP+4 | SP=264/0x108
TICK  142 @ 0x51C02400 -  CMP RegReg; PC++ | PC=9/0x9
TICK  143 - CMP RM1, RM2 | N=0,Z=1,V=0,C=0; RM1=1/0x1 RM2=1/0x1
TICK  144 @ 0xC7000000 -  JNE JAbsAddr; PC++ | PC=10/0xA
TICK  145 - RF2<-memI[0xA]; PC++ | RF2=13/0xD
TICK  146 - JNE not taken | PC=11/0xB; N=0,Z=1,V=0,C=0
TICK  147 @ 0x83000000 -  JMP JAbsAddr; PC++ | PC=12/0xC
TICK  148 - PC<-memI[0x2]| PC=2/0x2
TICK  149 @ 0x04220000 -  MOV MvImmReg; PC++ | PC=3/0x3
TICK  150 - RM1<-#1; PC++ | SP=268/0x10C
TICK  151 @ 0x0B802000 -  PUSH SingleReg; PC++ | PC=5/0x5
TICK  152 - SP=SP-4 | SP=264/0x108
TICK  153 - RF1=SP | SP=264/0x108
TICK  154 - memD[0x108]<-RM1 | memD[0x108]=0x1
TICK  155 - memD[0x109]<-RM1 | memD[0x109]=0x0
TICK  156 - memD[0x10A]<-RM1 | memD[0x10A]=0x0
TICK  157 - memD[0x10B]<-RM1 | memD[0x10B]=0x0
TICK  158 @ 0x04240000 -  MOV MvImmReg; PC++ | PC=6/0x6
TICK  159 - RM2<-#1; PC++ | SP=264/0x108
TICK  160 @ 0x0F820000 -  POP SingleReg; PC++ | PC=8/0x8
TICK  161 - RF1<-SP | RF1=264/0x108
TICK  162 - RM1<-memD[108] | RM1=1/0x1
TICK  163 - RM1<-memD[109] | RM1=1/0x1
TICK  164 - RM1<-memD[10A] | RM1=1/0x1
TICK  165 - RM1<-memD[10B] | RM1=   1/0x1
TICK  166 - SP=SP+4 | SP=264/0x108
TICK  167 @ 0x51C02400 -  CMP RegReg; PC++ | PC=9/0x9
TICK  168 - CMP RM1, RM2 | N=0,Z=1,V=0,C=0; RM1=1/0x1 RM2=1/0x1
TICK  169 @ 0xC7000000 -  JNE JAbsAddr; PC++ | PC=10/0xA
TICK  170 - RF2<-memI[0xA]; PC++ | RF2=13/0xD
TICK  171 - JNE not taken | PC=11/0xB; N=0,Z=1,V=0,C=0
TICK  172 @ 0x83000000 -  JMP JAbsAddr; PC++ | PC=12/0xC
TICK  173 - PC<-memI[0x2]| PC=2/0x2
TICK  174 @ 0x04220000 -  MOV MvImmReg; PC++ | PC=3/0x3
TICK  175 - RM1<-#1; PC++ | SP=268/0x10C
TICK  176 @ 0x0B802000 -  PUSH SingleReg; PC++ | PC=5/0x5
TICK  177 - SP=SP-4 | SP=264/0x108
TICK  178 - RF1=SP | SP=264/0x108
TICK  179 - memD[0x108]<-RM1 | memD[0x108]=0x1
TICK  180 - memD[0x109]<-RM1 | memD[0x109]=0x0
TICK  181 - memD[0x10A]<-RM1 | memD[0x10A]=0x0
TICK  182 - memD[0x10B]<-RM1 | memD[0x10B]=0x0
TICK  183 @ 0x04240000 -  MOV MvImmReg; PC++ | PC=6/0x6
TICK  184 - RM2<-#1; PC++ | SP=264/0x108
TICK  185 @ 0x0F820000 -  POP SingleReg; PC++ | PC=8/0x8
TICK  186 - RF1<-SP | RF1=264/0x108
TICK  187 - RM1<-memD[108] | RM1=1/0x1
TICK  188 - RM1<-memD[109] | RM1=1/0x1
TICK  189 - RM1<-memD[10A] | RM1=1/0x1
TICK  190 - RM1<-memD[10B] | RM1=   1/0x1
TICK  191 - SP=SP+4 | SP=264/0x108
TICK  192 @ 0x51C02400 -  CMP RegReg; PC++ | PC=9/0x9
TICK  193 - CMP RM1, RM2 | N=0,Z=1,V=0,C=0; RM1=1/0x1 RM2=1/0x1
TICK  194 @ 0xC7000000 -  JNE JAbsAddr; PC++ | PC=10/0xA
TICK  195 - RF2<-memI[0xA]; PC++ | RF2=13/0xD
TICK  196 - JNE not taken | PC=11/0xB; N=0,Z=1,V=0,C=0
TICK  197 @ 0x83000000 -  JMP JAbsAddr; PC++ | PC=12/0xC
TICK  198 - PC<-memI[0x2]| PC=2/0x2
TICK  199 @ 0x04220000 -  MOV MvImmReg; PC++ | PC=3/0x3
TICK  200 - RM1<-#1; PC++ | SP=268/0x10C
TICK  201 @ 0x0B802000 -  PUSH SingleReg; PC++ | PC=5/0x5
TICK  202 - SP=SP-4 | SP=264/0x108
TICK  203 - RF1=SP | SP=264/0x108
TICK  204 - memD[0x108]<-RM1 | memD[0x108]=0x1
TICK  205 - memD[0x109]<-RM1 | memD[0x109]=0x0
TICK  206 - memD[0x10A]<-RM1 | memD[0x10A]=0x0
TICK  207 - memD[0x10B]<-RM1 | memD[0x10B]=0x0
TICK  208 @ 0x04240000 -  MOV MvImmReg; PC++ | PC=6/0x6
TICK  209 - RM2<-#1; PC++ | SP=264/0x108
TICK  210 @ 0x0F820000 -  POP SingleReg; PC++ | PC=8/0x8
TICK  211 - RF1<-SP | RF1=264/0x108
TICK  212 - RM1<-memD[108] | RM1=1/0x1
TICK  213 - RM1<-memD[109] | RM1=1/0x1
TICK  214 - RM1<-memD[10A] | RM1=1/0x1
TICK  215 - RM1<-memD[10B] | RM1=   1/0x1
TICK  216 - SP=SP+4 | SP=264/0x108
TICK  217 @ 0x51C02400 -  CMP RegReg; PC++ | PC=9/0x9
